uid,SiteId,keywords,SiteLink,AnonNum1,AnonNum2,content,DateTime,
1b,-1623775549,mesothelioma lawyers ,http://www.survivingmesothelioma.com/choosing-lawyer.cfm/,1,1,Choosing Mesothelioma Lawyers,2012-07-26 00:36:06 +0100,
2b,-939074071,mesothelioma lawyers ,http://www.sgpblaw.com/,1,2,"Mesothelioma Trial Lawyers | Simon Greenstone Panatier Bartlett, PC",2012-07-26 00:36:06 +0100,
3b,-990705031,mesothelioma lawyers ,http://www.kazanlaw.com/about/mesothelioma-lawyers.php,1,3,Mesothelioma Lawyers & Attorneys - Mesothelioma Law Firm,2012-07-26 00:36:06 +0100,
4b,23883513,mesothelioma lawyers ,http://www.simmonsfirm.com/practices-mesothelioma-asbestos.html,1,4,Mesothelioma Lawyers | Proven Asbestos & Mesothelioma Law Firm,2012-07-26 00:36:06 +0100,
5b,-1387830101,mesothelioma lawyers ,http://www.mesotheliomalawyer.co/,1,5,Mesothelioma Lawyers Advocates | 1(888)888-7104 | Mesothelioma ...,2012-07-26 00:36:06 +0100,
6b,-2029773568,mesothelioma lawyers ,http://www.asbestos.com/mesothelioma-lawyer/,1,6,Mesothelioma Lawyer - Your Legal Options,2012-07-26 00:36:06 +0100,
7b,1271056094,mesothelioma lawyers ,http://www.weitzlux.com/mesothelioma-lawyer_1055.html,1,7,Mesothelioma Lawyer | Weitz & Luxenberg,2012-07-26 00:36:07 +0100,
8b,-1387830473,mesothelioma lawyers ,http://www.mesotheliomalawyer.cc/,1,8,Mesothelioma Lawyer | Experienced Mesothelioma Lawyers 1-800 ...,2012-07-26 00:36:07 +0100,
9b,1926661095,mesothelioma lawyers ,http://www.cooneyconway.com/,1,9,Mesothelioma Lawyer Chicago | IL Mesothelioma lawyers Asbestos ...,2012-07-26 00:36:07 +0100,
10b,-1781301617,mesothelioma lawyers ,http://baronandbudd.com/about/our-attorneys/,1,10,Baron & Budd Attorneys | Mesothelioma Lawyers | Baron & Budd,2012-07-26 00:36:07 +0100,
11b,-1919025190,what is mesothelioma ,http://www.asbestos.com/mesothelioma/what-is-mesothelioma.php,1,1,What is Mesothelioma? - Basics Provided by Asbestos.com,2012-07-26 00:36:18 +0100,
12b,-2082776109,what is mesothelioma ,http://en.wikipedia.org/wiki/Mesothelioma,1,2,"Mesothelioma - Wikipedia, the free encyclopedia",2012-07-26 00:36:18 +0100,
13b,-288328301,what is mesothelioma ,http://www.cancer.org/Cancer/MalignantMesothelioma/OverviewGuide/malignant-mesothelioma-overview-what-is-mesothelioma,1,3,What is mesothelioma? - American Cancer Society,2012-07-26 00:36:18 +0100,
14b,1839680348,what is mesothelioma ,http://www.mesothelioma.com/mesothelioma/,1,4,"Mesothelioma - Cancer Types, Causes, Symptoms and Diagnosis",2012-07-26 00:36:18 +0100,
15b,-1647905963,what is mesothelioma ,http://www.medicalnewstoday.com/articles/140859.php,1,5,What Is Mesothelioma? What Is Malignant Mesothelioma?,2012-07-26 00:36:18 +0100,
16b,-1694363163,what is mesothelioma ,http://cancerhelp.cancerresearchuk.org/type/mesothelioma/about/what-mesothelioma-is,1,6,What mesothelioma is : Cancer Research UK : CancerHelp UK,2012-07-26 00:36:18 +0100,
17b,2128689912,what is mesothelioma ,http://lungcancer.about.com/od/typesoflungcancer/a/mesothelioma.htm,1,7,Mesothelioma - What Is Mesothelioma,2012-07-26 00:36:18 +0100,
18b,1725402066,what is mesothelioma ,http://www.mesolink.org/mesothelioma/what-is-mesothelioma.html,1,8,What is Mesothelioma - Answers to Mesothelioma Questions,2012-07-26 00:36:18 +0100,
19b,844299749,what is mesothelioma ,http://www.medicinenet.com/mesothelioma/article.htm,1,9,"Mesothelioma Causes, Symptoms, Diagnosis, Treatment, Life ...",2012-07-26 00:36:18 +0100,
20b,-833924562,peritoneal mesothelioma ,http://www.mesothelioma.com/mesothelioma/types/peritoneal.htm,1,1,"Peritoneal Mesothelioma | Treatment, Prognosis & Diagnosis",2012-07-26 00:36:29 +0100,
21b,-448188683,peritoneal mesothelioma ,http://en.wikipedia.org/wiki/Peritoneal_mesothelioma,1,2,"Peritoneal mesothelioma - Wikipedia, the free encyclopedia",2012-07-26 00:36:29 +0100,
22b,-44676704,peritoneal mesothelioma ,http://www.asbestos.com/mesothelioma/peritoneal.php,1,3,"Peritoneal Mesothelioma - Prognosis, Life Expectancy & Treatment ...",2012-07-26 00:36:29 +0100,
23b,552053476,peritoneal mesothelioma ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1994863/,1,4,Peritoneal Mesothelioma: A Review,2012-07-26 00:36:29 +0100,
24b,890221347,peritoneal mesothelioma ,http://www.mesotheliomacenter.org/about/peritoneal-mesothelioma.php,1,5,Peritoneal Mesothelioma (Abdominal Mesothelioma) - Symptoms ...,2012-07-26 00:36:29 +0100,
25b,667291853,peritoneal mesothelioma ,http://www.mesotheliomasymptoms.com/peritoneal-mesothelioma,1,6,"Peritoneal Mesothelioma | Diagnosis, Treatment, and Survival Facts",2012-07-26 00:36:29 +0100,
26b,-1286019234,peritoneal mesothelioma ,http://www.surgicaloncology.com/meso.htm,1,7,Abdominal Mesothelioma Specialty Service,2012-07-26 00:36:29 +0100,
